dataset,model,target,spearman,pearson,r2,rmse,auroc_top_hard,hard_threshold,null_id
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.04384526562200537,0.04520400673362727,-0.004100534009607637,0.21120195468306768,0.5072011878247958,0.0,1
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.010812696206670728,0.0031783894414126636,-0.013216847533809029,0.21215854852913182,0.5087074156561906,0.0,2
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.004248270465416875,0.0029884442254628323,-0.010560707781961387,0.211880280082316,0.4746498391487256,0.0,3
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.04855926555500062,-0.06460567237577666,-0.017817511088711546,0.2126396719009749,0.48816959498473966,0.0,4
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.016226278591551707,0.02687781393276752,-0.009329699764151211,0.21175119045861468,0.5093772168605131,0.0,5
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.025669849472985822,0.023256507391757587,-0.00921375646019551,0.2117390280117247,0.5000296956198961,0.0,6
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.06687541792976796,0.07564720128374597,0.0010721933502522152,0.21065723792056562,0.5278726387857792,0.0,7
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.04079454796238404,-0.005239554819777665,-0.01162790117675705,0.21199212767736467,0.4714707580631857,0.0,8
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.04309533904499685,-0.056665647786085654,-0.0148145204246517,0.2123257518513401,0.4868827847892436,0.0,9
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.04674789857249906,-0.05378478796896215,-0.01484366648538371,0.212328800888726,0.4608727212736121,0.0,10
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.03199080769440893,0.0320052417285188,-0.00726638925333889,0.2115346447789281,0.5292171904644065,0.0,11
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.005136616859315334,-0.022294749458656782,-0.01371795767840589,0.21221100603579487,0.4847067557535264,0.0,12
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.018715490111447554,-0.0158304072435609,-0.011736248182755205,0.2120034797255528,0.48294316588303227,0.0,13
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.05199021957049519,-0.06895257851642583,-0.016406463445071795,0.2124922246580595,0.47146745854986394,0.0,14
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.006082481411670439,-0.01895273140121726,-0.019028370447341514,0.21276611903017204,0.512694877505568,0.0,15
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.005042946176898475,0.0004874328464989086,-0.01117497440732107,0.2119446657306254,0.4974412274189557,0.0,16
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.0029042875282493004,-0.004966309602524931,-0.010977924737443079,0.21192401368606825,0.493231048420358,0.0,17
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.018065318387015954,0.020071000787157574,-0.008300323610730631,0.2116431845069799,0.5255778272704776,0.0,18
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.019152760841629334,-0.0333710450034168,-0.016395667595480168,0.21249109615274647,0.5100783634413923,0.0,19
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.006692346183211963,-0.024855195493578057,-0.012478071879307828,0.2120811879166387,0.5096180813330033,0.0,20
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.03733670346145254,-0.06188726023354718,-0.016869740563838498,0.2125406460200654,0.4948214138414584,0.0,21
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.02929538722790309,0.042890219371836485,-0.005318042803179823,0.21132996095712317,0.5184096345788995,0.0,22
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.03033371749843999,-0.021992428226349486,-0.015424897932071469,0.21238959572579427,0.48275014435370783,0.0,23
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.04114800353851937,-0.03405611387956454,-0.014868329024356752,0.21233138086024567,0.5106095850861998,0.0,24
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.06530212850021283,-0.0749588402098205,-0.017318148470370165,0.2125875027599333,0.4846605625670214,0.0,25
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.022193556430079205,0.0009905749559831166,-0.011825841475472831,0.21201286639592676,0.5165025158789079,0.0,26
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.001473656871855824,-0.002995224308759493,-0.01144201024372804,0.21197264955460368,0.4972498556462922,0.0,27
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.02144979675211853,-0.022453201321312843,-0.01702615356104986,0.21255699169338932,0.49196073579147076,0.0,28
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.03521836374702397,-0.030557804802150937,-0.022151620872116196,0.21309192618700848,0.4615210756413429,0.0,29
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.0018695703519635283,-0.01208093806267598,-0.01288108773448382,0.21212339306648964,0.47200197970799307,0.0,30
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.01476699856162892,0.019200735306960922,-0.00851036552925466,0.21166522735702897,0.5052082817784376,0.0,31
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.016705839969476215,5.366088335483684e-05,-0.013157771510815763,0.21215236344347152,0.5061981357749732,0.0,32
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.017106114700733234,-0.02608242431713107,-0.013276088451914081,0.21216475069775984,0.4791767714262146,0.0,33
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.04229477879175833,-0.029654653034279888,-0.014107975354541447,0.21225182512333313,0.5096197310896643,0.0,34
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.014561901059641728,-0.011031797713251478,-0.013091088901600267,0.21214538175398254,0.4808562237070032,0.0,35
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.02271616380646097,0.03253571463236235,-0.012658178663086606,0.2121000503311283,0.5235997690340675,0.0,36
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.007889140041384827,-0.006597841389893227,-0.011439868199114356,0.21197242509531286,0.498495421925266,0.0,37
digits,MAAT_v14_field_shuffled_null,misclassification_rate,-0.013624816560115879,-0.016056344303165514,-0.01275765514771221,0.21211046769096004,0.4993615441722346,0.0,38
digits,MAAT_v14_field_shuffled_null,misclassification_rate,0.003439667525522786,0.01827820079682837,-0.007182953970143124,0.21152588353230692,0.5067013115565454,0.0,39
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.0221727352207087,-0.013988687159030535,-0.011529711750638771,0.1844495592050773,0.4886678214963293,0.23202049822877502,0
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.037152507764180435,-0.07053021306855166,-0.017499359258423164,0.18499303264561576,0.4691726470345624,0.23202049822877502,1
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.025320653266525144,-0.00667253829217799,-0.011068670042861717,0.18440751959373505,0.4872638785779098,0.23202049822877502,2
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.022725647611360523,0.0008240953834964034,-0.011139112533926854,0.18441394343970333,0.5192097665594324,0.23202049822877502,3
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.004025039416002556,-0.029086083676992225,-0.014749607668594678,0.18474289537460137,0.5053996535511012,0.23202049822877502,4
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.028762075574227948,-0.05191847959123891,-0.01757865064483677,0.18500024054611475,0.4945409552091067,0.23202049822877502,5
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.008843351590494652,0.004150250482444728,-0.011681500603295092,0.18446339781822196,0.49703703703703705,0.23202049822877502,6
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.039742455247243305,0.018747182498721593,-0.010542103164253191,0.1843594934106442,0.5320828177843768,0.23202049822877502,7
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.032274967827150995,-0.06179065184986664,-0.01662610277724097,0.18491363159270852,0.47517281201022854,0.23202049822877502,8
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.03674387528666817,0.03161940057532585,-0.005702432367201249,0.18391749792446113,0.5258516868761858,0.23202049822877502,9
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.01205997681868263,-0.004066075980751696,-0.012707224928109273,0.18455688606508108,0.4980945310566691,0.23202049822877502,10
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.027157226753376167,-0.020750981871779116,-0.013805730477782774,0.18465695536948498,0.49600098985399643,0.23202049822877502,11
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.00695452135425225,-0.026587300011754314,-0.01581257835229266,0.18483963100288334,0.48944980615359235,0.23202049822877502,12
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.06151200493455913,-0.04219611894973924,-0.01515657718186536,0.18477993761086728,0.4683890126206385,0.23202049822877502,13
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.024448565253205615,0.04499288441445717,-0.005172777848952537,0.18386906134936698,0.5133217850367071,0.23202049822877502,14
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.008462386032258507,0.0052721907117102545,-0.011238579396343207,0.18442301371748582,0.49055844262971204,0.23202049822877502,15
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.008376512910959472,0.002319488310290498,-0.012904258642553401,0.18457483901303615,0.5064340509774808,0.23202049822877502,16
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.004936019106639208,-4.184974216519047e-05,-0.014095526372978506,0.18468334553599772,0.489700569166048,0.23202049822877502,17
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.03003779579517337,-0.0016220324216539173,-0.013661326191455991,0.1846438038333195,0.47153179905963866,0.23202049822877502,18
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.012451569501379496,-0.044987711268327166,-0.014644657399212724,0.18473334162960042,0.4897847067557536,0.23202049822877502,19
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.013640909956641205,0.04398333640967393,-0.005323273139606011,0.18388282534734327,0.5159729439907613,0.23202049822877502,20
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.03870789154959724,-0.022785236043932802,-0.016460558819142213,0.18489857562441314,0.4841854326486843,0.23202049822877502,21
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.008463370369920172,0.004887097143084298,-0.012706517390569383,0.18455682159385747,0.502547224284418,0.23202049822877502,22
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.008658761395760859,-0.010132859238311615,-0.01278425558361862,0.1845639050075902,0.49453930545244573,0.23202049822877502,23
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.025112858758972963,0.013721244033911215,-0.012005249298664866,0.18449291056871528,0.49467293574197807,0.23202049822877502,24
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.04767914293008428,0.05250274104813752,-0.004083841124588927,0.18376943866066534,0.521595314691083,0.23202049822877502,25
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.004713076965953195,0.03439721460255317,-0.00752652737602677,0.18408421274797773,0.49828920234265445,0.23202049822877502,26
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.013363167504959085,-0.0009200900285897522,-0.011100718181887848,0.18441044218008806,0.5008116802771592,0.23202049822877502,27
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.002986923003854935,-0.023765015784055238,-0.013476948716165671,0.18462701040057483,0.4826808545739503,0.23202049822877502,28
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.013071044624497078,0.001715816055831482,-0.010895625717819435,0.18439173825207125,0.5290043718551514,0.23202049822877502,29
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.02565764002423472,-0.04619661769398335,-0.015325172677795429,0.18479528094438097,0.4634281943413347,0.23202049822877502,30
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.07618627711787701,-0.047008337283110796,-0.016911329974068856,0.18493956969216518,0.45605213231048425,0.23202049822877502,31
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.031519143326466305,0.00734474424226342,-0.009111089924545901,0.18422891283439863,0.5127196238554812,0.23202049822877502,32
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.004902518539162342,-0.01803940730343395,-0.013512736809062398,0.18463027016404454,0.5030635981192775,0.23202049822877502,33
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.014125096553495116,0.006196617917017274,-0.010162226364291538,0.18432483850755027,0.5113552750969232,0.23202049822877502,34
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.038858747500056336,-0.042975965518087994,-0.01607569928220709,0.18486356850257873,0.4661618411284335,0.23202049822877502,35
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.018937453071546883,-0.012431208677286944,-0.012111876365222596,0.18450262959918776,0.5031724820588963,0.23202049822877502,36
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.012001427339239885,-0.010094374284276456,-0.01205768591505163,0.18449769021717638,0.49450136104924525,0.23202049822877502,37
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.06197914139691633,-0.08447205707578062,-0.020590198225282075,0.18527379454624854,0.4699348346118947,0.23202049822877502,38
digits,MAAT_v14_field_shuffled_null,hybrid_hardness,0.01292269708072622,0.024923913830736333,-0.00827452593821798,0.18415253312252203,0.525694959993401,0.23202049822877502,39
